AthleteID,Sex,BestMedal,NSeasons
101335,F,None,2
101336,M,None,1
101337,M,Gold,1
101338,M,Gold,1
101339,M,None,1
10134,M,None,4
101340,M,Gold,2
101341,M,Silver,2
101342,M,Gold,1
101344,M,Bronze,1
101345,M,None,1
101346,M,None,1
101347,F,None,1
101348,M,None,1
101349,M,Gold,1
10135,F,None,1
101350,M,None,1
101352,M,Bronze,1
101353,F,None,1
101354,M,Gold,1
101355,F,None,2
101356,M,Bronze,1
101358,M,None,2
101359,M,None,1
10136,F,Gold,2
101360,M,None,2
101361,F,None,1
101362,M,Silver,2
101363,F,None,1
101364,M,Silver,3
101365,M,Silver,3
101366,F,None,1
101367,M,Silver,1
101368,M,None,2
101369,M,None,1
10137,M,None,1
101370,M,None,1
101371,M,Silver,1
101373,F,None,2
101374,M,Silver,3
101375,M,None,1
101376,M,Gold,1
101377,M,None,2
101378,F,None,1
101379,M,None,1
10138,M,None,2
101380,F,None,2
101381,M,None,1
101382,M,None,1
101383,M,Silver,1
101384,M,None,1
101385,F,Gold,4
101386,F,Gold,1
101388,M,None,1
101389,F,None,2
10139,M,None,1
101390,F,None,2
101391,M,None,3
101392,M,None,1
101393,M,Bronze,3
101394,F,None,2
101395,F,None,2
